NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"AdivinaPalabra","App Service plan","AdivinaPalabra","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/AdivinaPalabra/providers/Microsoft.Web/serverFarms/AdivinaPalabra"
"AdivinaPalabra","App Service","AdivinaPalabra","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/AdivinaPalabra/providers/Microsoft.Web/sites/AdivinaPalabra"
"Application Insights Smart Detection","Action group","ChessTutorResourceGroup","Global","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/ChessTutorResourceGroup/providers/microsoft.insights/actiongroups/Application Insights Smart Detection"
"ASP-AzureLearning-85b5","App Service plan","AzureLearning","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/AzureLearning/providers/Microsoft.Web/serverFarms/ASP-AzureLearning-85b5"
"azuredb","SQL database","AzureLearning","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/AzureLearning/providers/Microsoft.Sql/servers/azuredblearning/databases/azuredb"
"azuredblearning","SQL server","AzureLearning","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/AzureLearning/providers/Microsoft.Sql/servers/azuredblearning"
"AzureLearning-identities-f7d630","Managed Identity","AzureLearning","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/AzureLearning/providers/Microsoft.ManagedIdentity/userAssignedIdentities/AzureLearning-identities-f7d630"
"Chess3DOnlineRG","App Service","Chess3DOnlineRG","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/Chess3DOnlineRG/providers/Microsoft.Web/sites/Chess3DOnlineRG"
"Chess3DOnlineSP","App Service plan","Chess3DOnlineRG","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/Chess3DOnlineRG/providers/Microsoft.Web/serverFarms/Chess3DOnlineSP"
"chessengineapi","Container App","ChessEngineAPI","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/ChessEngineAPI/providers/Microsoft.App/containerApps/chessengineapi"
"ChessEnigma","App Service","ChessEnigma","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/ChessEnigma/providers/Microsoft.Web/sites/ChessEnigma"
"ChessEnigmaServicePlan","App Service plan","ChessEnigma","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/ChessEnigma/providers/Microsoft.Web/serverFarms/ChessEnigmaServicePlan"
"ChessTutor","App Service","ChessTutorResourceGroup","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/ChessTutorResourceGroup/providers/Microsoft.Web/sites/ChessTutor"
"ChessTutorPlan","App Service plan","ChessTutorResourceGroup","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/ChessTutorResourceGroup/providers/Microsoft.Web/serverFarms/ChessTutorPlan"
"defaultazuremonitorworkspace-wus2","Data collection endpoint","MA_defaultazuremonitorworkspace-wus2_westus2_managed","West US 2","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/MA_defaultazuremonitorworkspace-wus2_westus2_managed/providers/Microsoft.Insights/dataCollectionEndpoints/defaultazuremonitorworkspace-wus2"
"defaultazuremonitorworkspace-wus2","Data collection rule","MA_defaultazuremonitorworkspace-wus2_westus2_managed","West US 2","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/MA_defaultazuremonitorworkspace-wus2_westus2_managed/providers/Microsoft.Insights/dataCollectionRules/defaultazuremonitorworkspace-wus2"
"defaultazuremonitorworkspace-wus2","Azure Monitor workspace","defaultresourcegroup-wus2","West US 2","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/defaultresourcegroup-wus2/providers/microsoft.monitor/accounts/defaultazuremonitorworkspace-wus2"
"DefaultWorkspace-27d9b7e5-0acb-43cf-bf8b-689e8fe60397-CUS","Log Analytics workspace","DefaultResourceGroup-CUS","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/DefaultResourceGroup-CUS/providers/Microsoft.OperationalInsights/workspaces/DefaultWorkspace-27d9b7e5-0acb-43cf-bf8b-689e8fe60397-CUS"
"managedEnvironment-ChessEngineAPI-b0a8","Container Apps Environment","ChessEngineAPI","Central US","Azure subscription","https://portal.azure.com#resource/subscriptions/27d9b7e5-0acb-43cf-bf8b-689e8fe60397/resourceGroups/ChessEngineAPI/providers/Microsoft.App/managedEnvironments/managedEnvironment-ChessEngineAPI-b0a8"
